# ATP-2 IMU Static Accuracy
phase,sample,az_raw,az_filt,timestamp_ms
STATIC,276,9.7531,0.0294,108879
STATIC,277,9.7316,0.0078,108932
STATIC,278,9.7292,0.0054,108961
STATIC,279,9.7675,0.0434,109013
STATIC,280,9.7173,-0.0068,109065
STATIC,281,9.7196,-0.0044,109094
STATIC,282,9.7196,-0.0043,109148
STATIC,283,9.7196,-0.0043,109201
STATIC,284,9.7484,0.0243,109237
STATIC,285,9.7268,0.0027,109266
STATIC,286,9.7436,0.0194,109313
STATIC,287,9.6909,-0.0331,109341
STATIC,288,9.6981,-0.0258,109393
STATIC,289,9.6742,-0.0495,109422
STATIC,290,9.7101,-0.0135,109474
STATIC,291,9.7244,0.0008,109528
STATIC,292,9.6909,-0.0325,109556
STATIC,293,9.7005,-0.0228,109610
STATIC,294,9.7005,-0.0227,109662
STATIC,295,9.7460,0.0226,109691
STATIC,296,9.6909,-0.0322,109718
STATIC,297,9.7101,-0.0130,109747
STATIC,298,9.7579,0.0347,109799
STATIC,299,9.7460,0.0226,109858
STATIC,300,9.7460,0.0225,109886
STATIC,301,9.7005,-0.0229,109914
STATIC,302,9.7436,0.0201,109968
STATIC,303,9.7340,0.0105,109997
STATIC,304,9.7388,0.0152,110049
STATIC,305,9.7125,-0.0111,110101
STATIC,306,9.7244,0.0009,110130
STATIC,307,9.7268,0.0033,110184
STATIC,308,9.7101,-0.0134,110212
STATIC,309,9.7125,-0.0110,110239
STATIC,310,9.7292,0.0057,110268
STATIC,311,9.7173,-0.0062,110295
STATIC,312,9.6814,-0.0419,110323
STATIC,313,9.7125,-0.0107,110351
STATIC,314,9.7268,0.0036,110379
STATIC,315,9.7268,0.0036,110412
STATIC,316,9.7651,0.0417,110439
STATIC,317,9.7675,0.0439,110468
STATIC,318,9.7412,0.0174,110495
STATIC,319,9.7388,0.0150,110524
STATIC,320,9.7053,-0.0184,110551
STATIC,321,9.7101,-0.0136,110581
STATIC,322,9.7077,-0.0159,110608
STATIC,323,9.6933,-0.0301,110637
STATIC,324,9.7651,0.0415,110664
STATIC,325,9.7484,0.0246,110693
STATIC,326,9.7436,0.0197,110720
STATIC,327,9.7579,0.0339,110749
STATIC,328,9.6981,-0.0258,110776
STATIC,329,9.7077,-0.0161,110805
STATIC,330,9.7364,0.0125,110837
STATIC,331,9.7627,0.0387,110866
STATIC,332,9.7675,0.0432,110894
STATIC,333,9.6742,-0.0499,110922
STATIC,334,9.7364,0.0123,110950
STATIC,335,9.6694,-0.0544,110979
STATIC,336,9.7364,0.0125,111007
STATIC,337,9.7173,-0.0066,111035
STATIC,338,9.7316,0.0077,111063
STATIC,339,9.7173,-0.0066,111091
STATIC,340,9.7029,-0.0209,111119
STATIC,341,9.7101,-0.0136,111148
STATIC,342,9.7005,-0.0231,111176
STATIC,343,9.7603,0.0366,111204
STATIC,344,9.7244,0.0007,111232
STATIC,345,9.7460,0.0221,111264
STATIC,346,9.7268,0.0029,111293
STATIC,347,9.7268,0.0029,111320
STATIC,348,9.7053,-0.0185,111349
STATIC,349,9.7436,0.0197,111403
STATIC,350,9.7412,0.0172,111431
STATIC,351,9.7220,-0.0019,111459
STATIC,352,9.7196,-0.0043,111487
STATIC,353,9.7603,0.0362,111515
STATIC,354,9.7364,0.0122,111543
STATIC,355,9.7196,-0.0045,111571
STATIC,356,9.6957,-0.0283,111600
STATIC,357,9.7460,0.0218,111627
STATIC,358,9.6981,-0.0259,111656
STATIC,359,9.7292,0.0052,111683
STATIC,360,9.7292,0.0052,111712
STATIC,361,9.6981,-0.0258,111737
STATIC,362,9.7292,0.0053,111765
STATIC,363,9.7005,-0.0233,111793
STATIC,364,9.7292,0.0053,111821
STATIC,365,9.7005,-0.0233,111849
STATIC,366,9.7340,0.0102,111877
STATIC,367,9.7388,0.0149,111905
STATIC,368,9.7244,0.0005,111933
STATIC,369,9.7388,0.0148,111961
STATIC,370,9.7101,-0.0138,111989
STATIC,371,9.7149,-0.0090,112017
STATIC,372,9.7053,-0.0185,112045
STATIC,373,9.7531,0.0292,112073
STATIC,374,9.7292,0.0053,112101
STATIC,375,9.7244,0.0005,112129
STATIC,376,9.7005,-0.0233,112161
STATIC,377,9.7244,0.0006,112190
STATIC,378,9.7484,0.0244,112217
STATIC,379,9.7053,-0.0186,112246
STATIC,380,9.7412,0.0173,112273
STATIC,381,9.7029,-0.0209,112302
STATIC,382,9.7436,0.0197,112329
STATIC,383,9.7340,0.0100,112359
STATIC,384,9.7196,-0.0043,112386
STATIC,385,9.7603,0.0362,112415
STATIC,386,9.7316,0.0074,112442
STATIC,387,9.7531,0.0288,112471
STATIC,388,9.7101,-0.0142,112498
STATIC,389,9.7053,-0.0189,112527
STATIC,390,9.7005,-0.0235,112554
STATIC,391,9.7627,0.0385,112587
STATIC,392,9.7292,0.0050,112615
STATIC,393,9.7555,0.0311,112643
STATIC,394,9.7412,0.0167,112671
STATIC,395,9.7101,-0.0143,112699
STATIC,396,9.7508,0.0262,112727
STATIC,397,9.7053,-0.0192,112755
STATIC,398,9.7173,-0.0072,112783
STATIC,399,9.6957,-0.0286,112811
STATIC,400,9.7316,0.0073,112839
STATIC,401,9.6790,-0.0451,112867
STATIC,402,9.7173,-0.0068,112895
STATIC,403,9.7101,-0.0139,112923
STATIC,404,9.6694,-0.0543,112951
STATIC,405,9.7029,-0.0207,112979
STATIC,406,9.7196,-0.0039,113011
STATIC,407,9.7388,0.0151,113038
STATIC,408,9.7388,0.0151,113067
STATIC,409,9.6814,-0.0422,113094
STATIC,410,9.7244,0.0009,113123
STATIC,411,9.7220,-0.0015,113150
STATIC,412,9.7173,-0.0062,113179
STATIC,413,9.7460,0.0224,113206
STATIC,414,9.7173,-0.0063,113235
STATIC,415,9.7173,-0.0063,113262
STATIC,416,9.7340,0.0104,113291
STATIC,417,9.7244,0.0008,113318
STATIC,418,9.7603,0.0365,113347
STATIC,419,9.7675,0.0435,113374
STATIC,420,9.7460,0.0219,113403
STATIC,421,9.7316,0.0075,113429
STATIC,422,9.7053,-0.0188,113462
STATIC,423,9.7316,0.0075,113490
STATIC,424,9.7292,0.0051,113518
STATIC,425,9.7268,0.0027,113546
STATIC,426,9.7244,0.0003,113574
STATIC,427,9.7364,0.0122,113602
STATIC,428,9.7603,0.0360,113630
STATIC,429,9.7005,-0.0237,113658
STATIC,430,9.7173,-0.0070,113686
STATIC,431,9.6981,-0.0260,113714
STATIC,432,9.7412,0.0170,113742
STATIC,433,9.7244,0.0003,113770
STATIC,434,9.6957,-0.0283,113798
STATIC,435,9.7005,-0.0234,113826
STATIC,436,9.7077,-0.0161,113854
STATIC,437,9.6790,-0.0446,113886
STATIC,438,9.7340,0.0103,113913
STATIC,439,9.7579,0.0341,113942
STATIC,440,9.6814,-0.0423,113969
STATIC,441,9.7555,0.0318,113998
STATIC,442,9.7125,-0.0113,114025
STATIC,443,9.7220,-0.0017,114054
STATIC,444,9.7723,0.0483,114081
STATIC,445,9.6814,-0.0424,114110
STATIC,446,9.7316,0.0078,114137
STATIC,447,9.7412,0.0173,114166
STATIC,448,9.7579,0.0339,114193
STATIC,449,9.7484,0.0242,114222
STATIC,450,9.7053,-0.0188,114249
STATIC,451,9.7484,0.0242,114278
STATIC,452,9.7436,0.0193,114309
STATIC,453,9.7220,-0.0022,114337
STATIC,454,9.7101,-0.0141,114365
STATIC,455,9.7388,0.0145,114393
STATIC,456,9.7364,0.0121,114421
STATIC,457,9.7244,0.0001,114449
STATIC,458,9.7173,-0.0070,114477
STATIC,459,9.6909,-0.0332,114505
STATIC,460,9.7436,0.0193,114533
STATIC,461,9.7364,0.0121,114561
STATIC,462,9.7316,0.0073,114589
STATIC,463,9.7436,0.0191,114617
STATIC,464,9.7675,0.0429,114645
STATIC,465,9.7388,0.0141,114673
STATIC,466,9.7149,-0.0098,114701
STATIC,467,9.7603,0.0355,114728
STATIC,468,9.7220,-0.0028,114761
STATIC,469,9.7388,0.0139,114788
STATIC,470,9.7268,0.0019,114817
STATIC,471,9.7244,-0.0005,114844
